ROI	structure_id	Structure	GN_Symbol	ARA_abbrev	ontology_volume	centroid_PA	ontology_level	ontology_order_GN_Symbol	ontology_most_child	length_of_bar	start_of_bar	L_Vertex	R_Vertex
119	612	NLL__Nucleus_of_the_lateral_lemniscus_left	NLL-L	NLL	0.3624075	-2.64495902402682	6	PNS-B-PON-B-HBR-B-BRS-B-GRY-B-BRN-B	1	1	46	119	299
118	-357023	PON__Pons_uncharted_left		P	1.681941375	-3.20814459830682	5	PON-B-HBR-B-BRS-B-GRY-B-BRN-B	1	1	47	118	298
130	-162157	PNR__Pontine_reticular_formation_left	PNR-L	PRF	2.70336825	-3.04822407172053	5	PON-B-HBR-B-BRS-B-GRY-B-BRN-B	1	1	48	130	310
123	898	PCG__Pontine_central_gray_left	PCG-L	PCG	0.256962375	-3.85196244926908	6	PNM-B-PON-B-HBR-B-BRS-B-GRY-B-BRN-B	1	1	49	123	303
127	880	DTG__Dorsal_tegmental_nucleus_left	DTG-L	DTN	0.051138	-3.64911628827877	6	PNM-B-PON-B-HBR-B-BRS-B-GRY-B-BRN-B	1	1	50	127	307
125	-902929	TMN__Trigeminal_motor_nucleus_left	TMN-L	VMc	0.435105	-3.36435968042197	6	PNM-B-PON-B-HBR-B-BRS-B-GRY-B-BRN-B	1	1	51	125	305
124	931	PNG__Pontine_gray_left	PNG-L	PG	0.407905875	-2.07488035842828	6	PNM-B-PON-B-HBR-B-BRS-B-GRY-B-BRN-B	1	1	52	124	304
129	574	TRN__Tegmental_pontine_reticular_nucleus_left	TRN-L	TRN	0.39450375	-1.7002462143896	6	PNM-B-PON-B-HBR-B-BRS-B-GRY-B-BRN-B	1	1	53	129	309
135	-436393	FLN__Flocculonodular_lobe_left	FLN-L	FLNOD	2.643667875	-5.74674915646316	4	CBX-B-CBL-B-GRY-B-BRN-B	1	1	54	135	315
132	-101871	CBH__Cerebellar_hemisphere_uncharted_left		HEM	11.336925375	-5.2278697319422	5	CBH-B-CBX-B-CBL-B-GRY-B-BRN-B	1	1	55	132	312
134	1041	PFL__Paraflocculus_left	PFL-L	PFL	1.304629875	-4.53309858571957	5	CBH-B-CBX-B-CBL-B-GRY-B-BRN-B	1	1	56	134	314
133	645	VER__Vermus_of_cerebellum_left	VER-L	VERM	8.3957175	-5.04283992531014	4	CBX-B-CBL-B-GRY-B-BRN-B	1	1	57	133	313
138	989	FAS__Fastigial_nucleus_left	FAS-L	FN	0.26864325	-5.13969408779115	4	CBN-B-CBL-B-GRY-B-BRN-B	1	1	58	138	318
137	91	INP__Interposed_nucleus_left	INP-L	IP	0.460353375	-4.93216959553082	4	CBN-B-CBL-B-GRY-B-BRN-B	1	1	59	137	317
139	589508455	VCN__Vestibulocerebellar_nucleus_left	VCN-L	VeCB	0.059977125	-4.73348038939846	4	CBN-B-CBL-B-GRY-B-BRN-B	1	1	60	139	319
136	846	DEN__Dentate_nucleus_left	DEN-L	DN	0.156164625	-4.55682338829937	4	CBN-B-CBL-B-GRY-B-BRN-B	1	1	61	136	316
104	811	ICC__Inferior_colliculus_central_nucleus_left	ICC-L	ICc	0.558052875	-3.76664869457934	6	ICO-B-MBS-B-MID-B-BRS-B-GRY-B-BRN-B	1	1	62	104	284
103	-292733	ICO__Inferior_colliculus_uncharted_left		IC	1.6857855	-3.60060991967839	6	ICO-B-MBS-B-MID-B-BRS-B-GRY-B-BRN-B	1	1	63	103	283
105	874	PBG__Parabigeminal_nucleus_left	PBG-L	PBG	0.016102125	-2.66168727730036	5	MBS-B-MID-B-BRS-B-GRY-B-BRN-B	1	1	64	105	285
101	302	SCS__Superior_colliculus_sensory_related_left	SCS-L	SCs	0.914277375	-2.4445893088517	5	MBS-B-MID-B-BRS-B-GRY-B-BRN-B	1	1	65	101	281
117	872	DRN__Dorsal_raphe_nucleus_left	DRN-L	DR	0.06507	-3.04802723029045	6	RAM-B-MBB-B-MID-B-BRS-B-GRY-B-BRN-B	1	1	66	117	297
106	1052	PPN__Pedunculopontine_nucleus_left	PPN-L	PPN	0.482257125	-2.93743230854287	5	MBB-B-MID-B-BRS-B-GRY-B-BRN-B	1	1	67	106	286
